Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Comprehensive review and classification of game analytics","Service Oriented Computing and Applications","","15","2","10.1007/s11761-020-00303-z","Yanhui SuPer BacklundHenrik Engström","2021","http://link.springer.com/article/10.1007/s11761-020-00303-z","Article"
"Holistic data-driven requirements elicitation in the big data era","Software and Systems Modeling","","","","10.1007/s10270-021-00926-6","Aron HenrikssonJelena Zdravkovic","2021","http://link.springer.com/article/10.1007/s10270-021-00926-6","Article"
"Identifying gameplay videos that exhibit bugs in computer games","Empirical Software Engineering","","24","6","10.1007/s10664-019-09733-6","Dayi LinCor-Paul BezemerAhmed E. Hassan","2019","http://link.springer.com/article/10.1007/s10664-019-09733-6","Article"
"Data-Driven Requirements Elicitation: A Systematic Literature Review","SN Computer Science","","2","1","10.1007/s42979-020-00416-4","Sachiko LimAron HenrikssonJelena Zdravkovic","2021","http://link.springer.com/article/10.1007/s42979-020-00416-4","Article"
"Addressing problems with replicability and validity of repository mining studies through a smart data platform","Empirical Software Engineering","","23","2","10.1007/s10664-017-9537-x","Fabian TrautschSteffen HerboldPhilip MakedonskiJens Grabowski","2018","http://link.springer.com/article/10.1007/s10664-017-9537-x","Article"
"Abstracts from the 8th DACH+ Conference on Energy Informatics","Energy Informatics","","2","2","10.1186/s42162-019-0098-7","","2019","http://link.springer.com/article/10.1186/s42162-019-0098-7","Article"
"Studying the consistency of star ratings and reviews of popular free hybrid Android and iOS apps","Empirical Software Engineering","","24","1","10.1007/s10664-018-9617-6","Hanyang HuShaowei WangCor-Paul BezemerAhmed E. Hassan","2019","http://link.springer.com/article/10.1007/s10664-018-9617-6","Article"
"Investigating types and survivability of performance bugs in mobile apps","Empirical Software Engineering","","25","3","10.1007/s10664-019-09795-6","Alejandro Mazuera-RozoCatia TrubianiMario Linares-VásquezGabriele Bavota","2020","http://link.springer.com/article/10.1007/s10664-019-09795-6","Article"
"On the automatic classification of app reviews","Requirements Engineering","","21","3","10.1007/s00766-016-0251-9","Walid MaalejZijad KurtanovićHadeer NabilChristoph Stanik","2016","http://link.springer.com/article/10.1007/s00766-016-0251-9","Article"
"An empirical study of emergency updates for top android mobile apps","Empirical Software Engineering","","22","1","10.1007/s10664-016-9435-7","Safwat HassanWeiyi ShangAhmed E. Hassan","2017","http://link.springer.com/article/10.1007/s10664-016-9435-7","Article"
"Algorithms and software for data mining and machine learning: a critical comparative view from a systematic review of the literature","The Journal of Supercomputing","","77","10","10.1007/s11227-021-03708-5","Gilda Taranto-VeraPurificación Galindo-VillardónJavier Merchán-Sánchez-JaraJulio Salazar-PozoAlex Moreno-SalazarVanessa Salazar-Villalva","2021","http://link.springer.com/article/10.1007/s11227-021-03708-5","Article"
"An empirical study of integration activities in distributions of open source software","Empirical Software Engineering","","21","3","10.1007/s10664-015-9371-y","Bram AdamsRyan KavanaghAhmed E. HassanDaniel M. German","2016","http://link.springer.com/article/10.1007/s10664-015-9371-y","Article"
"The skills that employers look for in software testers","Software Quality Journal","","27","4","10.1007/s11219-019-09462-5","Raluca FloreaViktoria Stray","2019","http://link.springer.com/article/10.1007/s11219-019-09462-5","Article"
"Design and implementation of a social networking platform for cloud deployment specialists","Journal of Internet Services and Applications","","6","1","10.1186/s13174-015-0033-5","Kostas MagoutisChristos PapoulasAntonis PapaioannouFlora KarniavouraDimitrios-Georgios AkestoridisNikos ParotsidisMaria KoroziAsterios LeonidisStavroula NtoaConstantine Stephanidis","2015","http://link.springer.com/article/10.1186/s13174-015-0033-5","Article"
"Game development software engineering process life cycle: a systematic review","Journal of Software Engineering Research and Development","","4","1","10.1186/s40411-016-0032-7","Saiqa AleemLuiz Fernando CapretzFaheem Ahmed","2016","http://link.springer.com/article/10.1186/s40411-016-0032-7","Article"
"Game theoretic decision making in IoT-assisted activity monitoring of defence personnel","Multimedia Tools and Applications","","76","21","10.1007/s11042-017-4611-3","Munish BhatiaSandeep K. Sood","2017","http://link.springer.com/article/10.1007/s11042-017-4611-3","Article"
"A survey of Intel SGX and its applications","Frontiers of Computer Science","","15","3","10.1007/s11704-019-9096-y","Wei ZhengYing WuXiaoxue WuChen FengYulei SuiXiapu LuoYajin Zhou","2020","http://link.springer.com/article/10.1007/s11704-019-9096-y","Article"
"Towards understanding and detecting fake reviews in app stores","Empirical Software Engineering","","24","6","10.1007/s10664-019-09706-9","Daniel MartensWalid Maalej","2019","http://link.springer.com/article/10.1007/s10664-019-09706-9","Article"
"An empirical study of DLL injection bugs in the Firefox ecosystem","Empirical Software Engineering","","24","4","10.1007/s10664-018-9677-7","Le AnMarco CastelluccioFoutse Khomh","2019","http://link.springer.com/article/10.1007/s10664-018-9677-7","Article"
"Mining non-functional requirements from App store reviews","Empirical Software Engineering","","24","6","10.1007/s10664-019-09716-7","Nishant JhaAnas Mahmoud","2019","http://link.springer.com/article/10.1007/s10664-019-09716-7","Article"
"Charting the API minefield using software telemetry data","Empirical Software Engineering","","20","6","10.1007/s10664-014-9343-7","Maria KechagiaDimitris MitropoulosDiomidis Spinellis","2015","http://link.springer.com/article/10.1007/s10664-014-9343-7","Article"
"On user rationale in software engineering","Requirements Engineering","","23","3","10.1007/s00766-018-0293-2","Zijad KurtanovićWalid Maalej","2018","http://link.springer.com/article/10.1007/s00766-018-0293-2","Article"
"Categorizing the Content of GitHub README Files","Empirical Software Engineering","","24","3","10.1007/s10664-018-9660-3","Gede Artha Azriadi PranaChristoph TreudeFerdian ThungThushari AtapattuDavid Lo","2019","http://link.springer.com/article/10.1007/s10664-018-9660-3","Article"
"A survey on intrusion detection system: feature selection, model, performance measures, application perspective, challenges, and future research directions","Artificial Intelligence Review","","","","10.1007/s10462-021-10037-9","Ankit ThakkarRitika Lohiya","2021","http://link.springer.com/article/10.1007/s10462-021-10037-9","Article"
"Blockchain for COVID-19: a comprehensive review","Personal and Ubiquitous Computing","","","","10.1007/s00779-021-01610-8","Het ShahManasi ShahSudeep TanwarNeeraj Kumar","2021","http://link.springer.com/article/10.1007/s00779-021-01610-8","Article"
"Security analysis of permission re-delegation vulnerabilities in Android apps","Empirical Software Engineering","","25","6","10.1007/s10664-020-09879-8","Biniam Fisseha DemissieMariano CeccatoLwin Khin Shar","2020","http://link.springer.com/article/10.1007/s10664-020-09879-8","Article"
"The entrepreneurial logic of startup software development: A study of 40 software startups","Empirical Software Engineering","","26","5","10.1007/s10664-021-09987-z","Anh Nguyen-DucKai-Kristian KemellPekka Abrahamsson","2021","http://link.springer.com/article/10.1007/s10664-021-09987-z","Article"
"Standing on shoulders or feet? An extended study on the usage of the MSR data papers","Empirical Software Engineering","","25","5","10.1007/s10664-020-09834-7","Zoe KottiKonstantinos KravvaritisKonstantina DritsaDiomidis Spinellis","2020","http://link.springer.com/article/10.1007/s10664-020-09834-7","Article"
"Latent Dirichlet allocation (LDA) and topic modeling: models, applications, a survey","Multimedia Tools and Applications","","78","11","10.1007/s11042-018-6894-4","Hamed JelodarYongli WangChi YuanXia FengXiahui JiangYanchao LiLiang Zhao","2019","http://link.springer.com/article/10.1007/s11042-018-6894-4","Article"
"Hybrid collective intelligence in a human–AI society","AI & SOCIETY","","36","1","10.1007/s00146-020-01005-y","Marieke M. M. PeetersJurriaan van DiggelenKarel van den BoschAdelbert BronkhorstMark A. NeerincxJan Maarten SchraagenStephan Raaijmakers","2021","http://link.springer.com/article/10.1007/s00146-020-01005-y","Article"
"GreenHub: a large-scale collaborative dataset to battery consumption analysis of android devices","Empirical Software Engineering","","26","3","10.1007/s10664-020-09925-5","Rui PereiraHugo MatalongaMarco CoutoFernando CastorBruno CabralPedro CarvalhoSimão Melo de SousaJoão Paulo Fernandes","2021","http://link.springer.com/article/10.1007/s10664-020-09925-5","Article"
"Graph based anomaly detection and description: a survey","Data Mining and Knowledge Discovery","","29","3","10.1007/s10618-014-0365-y","Leman AkogluHanghang TongDanai Koutra","2015","http://link.springer.com/article/10.1007/s10618-014-0365-y","Article"